"Subject" "Activity" "Average"
1 "LAYING" -0.323455253253035
1 "SITTING" -0.313691418644093
1 "STANDING" -0.329807395695265
1 "WALKING" -0.0630281109061124
1 "WALKING_DOWNSTAIRS" -0.0227044159765262
1 "WALKING_UPSTAIRS" -0.220061320256538
2 "LAYING" -0.317686797023163
2 "SITTING" -0.332289072198594
2 "STANDING" -0.347433790181932
2 "WALKING" -0.114179113927288
2 "WALKING_DOWNSTAIRS" -0.021518448934593
2 "WALKING_UPSTAIRS" -0.144330765632429
3 "LAYING" -0.329311704899499
3 "SITTING" -0.337448385755142
3 "STANDING" -0.384822561319684
3 "WALKING" -0.146723905436615
3 "WALKING_DOWNSTAIRS" -0.103690683953899
3 "WALKING_UPSTAIRS" -0.216545041515258
4 "LAYING" -0.34160939193638
4 "SITTING" -0.347624027590802
4 "STANDING" -0.36110914717926
4 "WALKING" -0.173496321021866
4 "WALKING_DOWNSTAIRS" -0.0988793667126918
4 "WALKING_UPSTAIRS" -0.203624453184834
5 "LAYING" -0.325751986313871
5 "SITTING" -0.338854038692547
5 "STANDING" -0.352433460987085
5 "WALKING" -0.132745736101558
5 "WALKING_DOWNSTAIRS" -0.0521627994884519
5 "WALKING_UPSTAIRS" -0.137445683332812
6 "LAYING" -0.32681358320484
6 "SITTING" -0.334233410700225
6 "STANDING" -0.362837071733135
6 "WALKING" -0.0677195579213005
6 "WALKING_DOWNSTAIRS" 0.0511985046698053
6 "WALKING_UPSTAIRS" -0.110811657701057
7 "LAYING" -0.377964989394862
7 "SITTING" -0.357370992429026
7 "STANDING" -0.377407962870003
7 "WALKING" -0.0592378069358638
7 "WALKING_DOWNSTAIRS" -0.0701428743766744
7 "WALKING_UPSTAIRS" -0.235367230509331
8 "LAYING" -0.338572138418502
8 "SITTING" -0.338990206451904
8 "STANDING" -0.34725086733
8 "WALKING" -0.0670888205112713
8 "WALKING_DOWNSTAIRS" 0.0659086394850801
8 "WALKING_UPSTAIRS" -0.0689728571630488
9 "LAYING" -0.400077234567633
9 "SITTING" -0.381660350246548
9 "STANDING" -0.372340404657589
9 "WALKING" -0.132786255297149
9 "WALKING_DOWNSTAIRS" -0.0786924504722293
9 "WALKING_UPSTAIRS" -0.232108556687312
10 "LAYING" -0.349423254106792
10 "SITTING" -0.326660018306513
10 "STANDING" -0.354962717830232
10 "WALKING" -0.0652096764060016
10 "WALKING_DOWNSTAIRS" -0.00442432269108867
10 "WALKING_UPSTAIRS" -0.115595270991491
11 "LAYING" -0.321084181643608
11 "SITTING" -0.331985684395492
11 "STANDING" -0.331725608296725
11 "WALKING" -0.196414997599323
11 "WALKING_DOWNSTAIRS" -0.119360970381692
11 "WALKING_UPSTAIRS" -0.262133168140511
12 "LAYING" -0.346181298277446
12 "SITTING" -0.353779184962101
12 "STANDING" -0.362666108594095
12 "WALKING" -0.091708818104787
12 "WALKING_DOWNSTAIRS" -0.0524341572216453
12 "WALKING_UPSTAIRS" -0.206513131694093
13 "LAYING" -0.341344902939119
13 "SITTING" -0.330858580124843
13 "STANDING" -0.359154129274603
13 "WALKING" -0.0675962994753852
13 "WALKING_DOWNSTAIRS" -0.0625505042151411
13 "WALKING_UPSTAIRS" -0.220902352389356
14 "LAYING" -0.377265864033589
14 "SITTING" -0.382171703951118
14 "STANDING" -0.398158087615395
14 "WALKING" -0.176905868079623
14 "WALKING_DOWNSTAIRS" -0.00111780631937198
14 "WALKING_UPSTAIRS" -0.13868853938248
15 "LAYING" -0.354966955685652
15 "SITTING" -0.334594978376134
15 "STANDING" -0.357778642157298
15 "WALKING" -0.155127158995542
15 "WALKING_DOWNSTAIRS" -0.0514333056068116
15 "WALKING_UPSTAIRS" -0.189224013411902
16 "LAYING" -0.374652594175958
16 "SITTING" -0.328204314246887
16 "STANDING" -0.353599522584432
16 "WALKING" -0.195749442473649
16 "WALKING_DOWNSTAIRS" -0.108160625031716
16 "WALKING_UPSTAIRS" -0.256430536143018
17 "LAYING" -0.333323148411336
17 "SITTING" -0.328937096755581
17 "STANDING" -0.352972202502985
17 "WALKING" -0.160637552856418
17 "WALKING_DOWNSTAIRS" -0.14430955806405
17 "WALKING_UPSTAIRS" -0.208641784946765
18 "LAYING" -0.312289482637439
18 "SITTING" -0.318274278171631
18 "STANDING" -0.374013642466282
18 "WALKING" -0.191340848872038
18 "WALKING_DOWNSTAIRS" -0.224655163055323
18 "WALKING_UPSTAIRS" -0.294677557125408
19 "LAYING" -0.336521050026196
19 "SITTING" -0.364593055786933
19 "STANDING" -0.369777101991605
19 "WALKING" 0.0193714028414638
19 "WALKING_DOWNSTAIRS" 0.152106171415608
19 "WALKING_UPSTAIRS" -0.0744350219336087
20 "LAYING" -0.338680906715466
20 "SITTING" -0.360149804951215
20 "STANDING" -0.390487822284347
20 "WALKING" -0.0152130858894382
20 "WALKING_DOWNSTAIRS" -0.0426216866121106
20 "WALKING_UPSTAIRS" -0.138964047852369
21 "LAYING" -0.360589121557953
21 "SITTING" -0.331014534499616
21 "STANDING" -0.373048346293693
21 "WALKING" -0.0935903698167906
21 "WALKING_DOWNSTAIRS" -0.0607364914295217
21 "WALKING_UPSTAIRS" -0.167376030995352
22 "LAYING" -0.345641750360736
22 "SITTING" -0.357673425898776
22 "STANDING" -0.393873956237729
22 "WALKING" -0.0163046320096281
22 "WALKING_DOWNSTAIRS" -0.0374532138368907
22 "WALKING_UPSTAIRS" -0.0748459279489079
23 "LAYING" -0.328695705480551
23 "SITTING" -0.326986781974775
23 "STANDING" -0.370885718577967
23 "WALKING" -0.00726042065063743
23 "WALKING_DOWNSTAIRS" 0.0676473466021498
23 "WALKING_UPSTAIRS" -0.144753856021628
24 "LAYING" -0.326176010211612
24 "SITTING" -0.34642396963292
24 "STANDING" -0.364219969740352
24 "WALKING" -0.168077657787642
24 "WALKING_DOWNSTAIRS" -0.112410649704063
24 "WALKING_UPSTAIRS" -0.225095786238806
25 "LAYING" -0.363519656731927
25 "SITTING" -0.335985118396498
25 "STANDING" -0.354197728347236
25 "WALKING" -0.246661072710514
25 "WALKING_DOWNSTAIRS" -0.224377870277515
25 "WALKING_UPSTAIRS" -0.31043705369092
26 "LAYING" -0.318769345038517
26 "SITTING" -0.340035586434099
26 "STANDING" -0.353042357331369
